ligament_name,pt_idx,pt_type,attached_body,loc_in_body_x,loc_in_body_y,loc_in_body_z
group1_ligament1,1,origin,float1,0,0,0
group1_ligament1,2,viapoint,link1,0.025,-0.0999999999,0
group1_ligament1,3,insertion,link2,0.025,0.1,0
group1_ligament2,1,origin,float1,0,0,0
group1_ligament2,2,viapoint,link1,0.025,-0.1,0
group1_ligament2,3,viapoint,link2,0.025,0.1,0
group1_ligament2,4,insertion,float2,0,0,0
group1_ligament3,1,origin,float2,0,0,0
group1_ligament3,2,viapoint,link2,0.025,-0.1,0
group1_ligament3,3,viapoint,link3,0.025,0.1,0
group1_ligament3,4,insertion,float3,0,0,0
group1_ligament4,1,origin,float2,0,0,0
group1_ligament4,2,viapoint,link2,0.025,-0.0999999999,0
group1_ligament4,3,insertion,link3,0.025,0.1,0
group1_ligament5,1,origin,float3,0,0,0
group1_ligament5,2,viapoint,link3,0.025,-0.0999999999,0
group1_ligament5,3,insertion,link4,0.025,0.1,0
group1_ligament6,1,origin,float3,0,0,0
group1_ligament6,2,viapoint,link3,0.025,-0.1,0
group1_ligament6,3,viapoint,link4,0.025,0.1,0
group1_ligament6,4,insertion,float4,0,0,0
group1_ligament7,1,origin,float4,0,0,0
group1_ligament7,2,viapoint,link4,0.025,-0.0999999999,0
group1_ligament7,3,insertion,link5,0.025,0.1,0
group1_ligament8,1,origin,float4,0,0,0
group1_ligament8,2,viapoint,link4,0.025,-0.1,0
group1_ligament8,3,viapoint,link5,0.025,0.1,0
group1_ligament8,4,insertion,float5,0,0,0
group1_ligament9,1,origin,float5,0,0,0
group1_ligament9,2,viapoint,link5,0.025,-0.0999999999,0
group1_ligament9,3,insertion,link6,0.025,0.1,0
group1_ligament10,1,origin,float5,0,0,0
group1_ligament10,2,viapoint,link5,0.025,-0.1,0
group1_ligament10,3,viapoint,link6,0.025,0.1,0
group1_ligament10,4,insertion,float6,0,0,0
group1_ligament11,1,origin,float6,0,0,0
group1_ligament11,2,viapoint,link6,0.025,-0.0999999999,0
group1_ligament11,3,insertion,link7,0.025,0.1,0
group1_ligament12,1,origin,float6,0,0,0
group1_ligament12,2,viapoint,link6,0.025,-0.1,0
group1_ligament12,3,viapoint,link7,0.025,0.1,0
group1_ligament12,4,viapoint,link7,0.025,-0.058,0
group1_ligament12,5,viapoint,link7,0.025,-0.0999999999,0
group1_ligament12,6,insertion,link8,0.025,0.1,0
