ligament_name,pt_idx,pt_type,attached_body,loc_in_body_x,loc_in_body_y,loc_in_body_z
group1_ligament1,1,origin,float1,0,0,0
group1_ligament1,2,viapoint,link1,0.025,-0.0999999999,0
group1_ligament1,3,insertion,link2,0.025,0.1,0
group1_ligament2,1,origin,float1,0,0,0
group1_ligament2,2,viapoint,link1,0.025,-0.1,0
group1_ligament2,3,viapoint,link2,0.025,0.1,0
group1_ligament2,4,insertion,float2,0,0,0
group1_ligament3,1,origin,float2,0,0,0
group1_ligament3,2,viapoint,link2,0.025,-0.1,0
group1_ligament3,3,viapoint,link3,0.025,0.1,0
group1_ligament3,4,insertion,float3,0,0,0
group1_ligament4,1,origin,float2,0,0,0
group1_ligament4,2,viapoint,link2,0.025,-0.0999999999,0
group1_ligament4,3,insertion,link3,0.025,0.1,0
group1_ligament5,1,origin,float3,0,0,0
group1_ligament5,2,viapoint,link3,0.025,-0.0999999999,0
group1_ligament5,3,insertion,link4,0.025,0.1,0
group1_ligament6,1,origin,float3,0,0,0
group1_ligament6,2,viapoint,link3,0.025,-0.1,0
group1_ligament6,3,viapoint,link4,0.025,0.1,0
group1_ligament6,4,viapoint,link4,0.025,-0.058,0
group1_ligament6,5,viapoint,link4,0.025,-0.1,0
group1_ligament6,6,viapoint,link5,0.025,0.1,0
group1_ligament6,7,viapoint,link5,0.025,-0.058,0
group1_ligament6,8,viapoint,link5,0.025,-0.1,0
group1_ligament6,9,viapoint,link6,0.025,0.1,0
group1_ligament6,10,viapoint,link6,0.025,-0.058,0
group1_ligament6,11,viapoint,link6,0.025,-0.1,0
group1_ligament6,12,viapoint,link7,0.025,0.1,0
group1_ligament6,13,viapoint,link7,0.025,-0.058,0
group1_ligament6,14,viapoint,link7,0.025,-0.0999999999,0
group1_ligament6,15,insertion,link8,0.025,0.1,0
